code;protein
CRHR1;Corticotropin-releasing factor receptor 1
CRIM1;Cysteine-rich motor neuron 1 protein
CRIP2;Cysteine-rich protein 2
CRISP2;Cysteine-rich secretory protein 2
CRISP3;Cysteine-rich secretory protein 3
CRKL;Crk-like protein
CRLF1;Cytokine receptor-like factor 1
CRNN;Cornulin
CRTAC1;Cartilage acidic protein 1
CRTAM;Cytotoxic and regulatory T-cell molecule
CRTAP;Cartilage-associated protein
CRX;Cone-rod homeobox protein
CRYBB1;Beta-crystallin B1
CRYBB2;Beta-crystallin B2
CRYGD;Gamma-crystallin D
CRYM;Ketimine reductase mu-crystallin
CRYZL1;Quinone oxidoreductase-like protein 1
CSDE1;Cold shock domain-containing protein E1
CSF1;Macrophage colony-stimulating factor 1
CSF1R;Macrophage colony-stimulating factor 1 receptor
CSF2;Granulocyte-macrophage colony-stimulating factor
CSF2RA;Granulocyte-macrophage colony-stimulating factor receptor subunit alpha
CSF2RB;Cytokine receptor common subunit beta
CSF3;Granulocyte colony-stimulating factor
CSF3R;Granulocyte colony-stimulating factor receptor
CSH1;Chorionic somatomammotropin hormone 1
CSNK1D;Casein kinase I isoform delta
CSNK2A1;Casein kinase II subunit alpha
CSPG4;Chondroitin sulfate proteoglycan 4
CSPG5;Chondroitin sulfate proteoglycan 5
CSRP3;Cysteine and glycine-rich protein 3
CST1;Cystatin-SN
CST3;Cystatin-C
CST5;Cystatin-D
CST6;Cystatin-M
CST7;Cystatin-F
CSTB;Cystatin-B
CTAG1A_CTAG1B;Cancer/testis antigen 1
CTBS;Di-N-acetylchitobiase
CTF1;Cardiotrophin-1
CTHRC1;Collagen triple helix repeat-containing protein 1
CTLA4;Cytotoxic T-lymphocyte protein 4
CTNNA1;Catenin alpha-1
CTRB1;Chymotrypsinogen B
CTRC;Chymotrypsin-C
CTRL;Chymotrypsin-like protease CTRL-1
CTSB;Cathepsin B
CTSC;Dipeptidyl peptidase 1
CTSD;Cathepsin D
CTSE;Cathepsin E
CTSF;Cathepsin F
CTSH;Pro-cathepsin H
CTSL;Cathepsin L1
CTSO;Cathepsin O
CTSS;Cathepsin S
CTSV;Cathepsin L2
CTSZ;Cathepsin Z
CUZD1;CUB and zona pellucida-like domain-containing protein 1
CWC15;Spliceosome-associated protein CWC15 homolog
CX3CL1;Fractalkine
CXADR;Coxsackievirus and adenovirus receptor
CXCL1;Growth-regulated alpha protein
CXCL10;C-X-C motif chemokine 10
CXCL11;C-X-C motif chemokine 11
CXCL12;Stromal cell-derived factor 1
CXCL13;C-X-C motif chemokine 13
CXCL14;C-X-C motif chemokine 14
CXCL16;C-X-C motif chemokine 16
CXCL17;C-X-C motif chemokine 17
CXCL3;C-X-C motif chemokine 3
CXCL5;C-X-C motif chemokine 5
CXCL6;C-X-C motif chemokine 6
CXCL8;Interleukin-8
CXCL9;C-X-C motif chemokine 9
CYB5A;Cytochrome b5
CYB5R2;NADH-cytochrome b5 reductase 2
"CYP24A1;1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial"
CYTH3;Cytohesin-3
CYTL1;Cytokine-like protein 1
DAAM1;Disheveled-associated activator of morphogenesis 1
DAB2;Disabled homolog 2
DAG1;Dystroglycan
DAND5;DAN domain family member 5
DAPK2;Death-associated protein kinase 2
DAPP1;Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide
"DARS1;Aspartate--tRNA ligase, cytoplasmic"
DBH;Dopamine beta-hydroxylase
DBI;Acyl-CoA-binding protein
DBN1;Drebrin
DBNL;Drebrin-like protein
"DCBLD2;Discoidin, CUB and LCCL domain-containing protein 2"
DCC;Netrin receptor DCC
DCDC2C;Doublecortin domain-containing protein 2C
DCLRE1C;Protein artemis
DCN;Decorin
DCTD;Deoxycytidylate deaminase
DCTN1;Dynactin subunit 1
DCTN2;Dynactin subunit 2
DCTN6;Dynactin subunit 6
DCTPP1;dCTP pyrophosphatase 1
DCUN1D1;DCN1-like protein 1
DCUN1D2;DCN1-like protein 2
DCXR;L-xylulose reductase
DDA1;DET1- and DDB1-associated protein 1
"DDAH1;N(G),N(G)-dimethylarginine dimethylaminohydrolase 1"
DDC;Aromatic-L-amino-acid decarboxylase
DDHD2;Phospholipase DDHD2
DDI2;Protein DDI1 homolog 2
DDR1;Epithelial discoidin domain-containing receptor 1
DDT;D-dopachrome decarboxylase
DDX1;ATP-dependent RNA helicase DDX1
DDX25;ATP-dependent RNA helicase DDX25
DDX39A;ATP-dependent RNA helicase DDX39A
DDX4;Probable ATP-dependent RNA helicase DDX4
DDX53;Probable ATP-dependent RNA helicase DDX53
DDX58;Antiviral innate immune response receptor RIG-I
"DECR1;2,4-dienoyl-CoA reductase, mitochondrial"
DEFA1_DEFA1B;Neutrophil defensin 1
DEFB103A_DEFB103B;Beta-defensin 103
DEFB104A_DEFB104B;Beta-defensin 104
DEFB116;Beta-defensin 116
DEFB118;Beta-defensin 118
DEFB4A_DEFB4B;Beta-defensin 4A
DENND2B;DENN domain-containing protein 2B
DENR;Density-regulated protein
DFFA;DNA fragmentation factor subunit alpha
DGCR6;Protein DGCR6
DGKA;Diacylglycerol kinase alpha
DGKZ;Diacylglycerol kinase zeta
DHODH;Dihydroorotate dehydrogenase
DHPS;Deoxyhypusine synthase
DHRS4L2;Dehydrogenase/reductase SDR family member 4-like 2
"DIABLO;Diablo homolog, mitochondrial"
DIPK1C;Divergent protein kinase domain 1C
DIPK2B;Divergent protein kinase domain 2B
DKK1;Dickkopf-related protein 1
DKK3;Dickkopf-related protein 3
DKK4;Dickkopf-related protein 4
DKKL1;Dickkopf-like protein 1
DLG4;Disks large homolog 4
DLGAP5;Disks large-associated protein 5
DLK1;Protein delta homolog 1
DLL1;Delta-like protein 1
DLL4;Delta-like protein 4
DMD;Dystrophin
DMP1;Dentin matrix acidic phosphoprotein 1
DNAJA1;DnaJ homolog subfamily A member 1
DNAJA2;DnaJ homolog subfamily A member 2
DNAJA4;DnaJ homolog subfamily A member 4
DNAJB1;DnaJ homolog subfamily B member 1
DNAJB14;DnaJ homolog subfamily B member 14
DNAJB2;DnaJ homolog subfamily B member 2
DNAJB6;DnaJ homolog subfamily B member 6
DNAJB8;DnaJ homolog subfamily B member 8
DNAJC21;DnaJ homolog subfamily C member 21
DNAJC6;Putative tyrosine-protein phosphatase auxilin
DNAJC9;DnaJ homolog subfamily C member 9
DNER;Delta and Notch-like epidermal growth factor-related receptor
DNLZ;DNL-type zinc finger protein
DNM1;Dynamin-1
DNM3;Dynamin-3
DNMBP;Dynamin-binding protein
DNPEP;Aspartyl aminopeptidase
DNPH1;2'-deoxynucleoside 5'-phosphate N-hydrolase 1
DOC2B;Double C2-like domain-containing protein beta
DOCK9;Dedicator of cytokinesis protein 9
DOK1;Docking protein 1
DOK2;Docking protein 2
DPEP1;Dipeptidase 1
DPEP2;Dipeptidase 2
DPP10;Inactive dipeptidyl peptidase 10
DPP4;Dipeptidyl peptidase 4
DPP6;Dipeptidyl aminopeptidase-like protein 6
DPP7;Dipeptidyl peptidase 2
DPT;Dermatopontin
DPY30;Protein dpy-30 homolog
DRAXIN;Draxin
DRG2;Developmentally-regulated GTP-binding protein 2
DSC2;Desmocollin-2
DSCAM;Down syndrome cell adhesion molecule
DSG2;Desmoglein-2
DSG3;Desmoglein-3
DSG4;Desmoglein-4
DTD1;D-aminoacyl-tRNA deacylase 1
DTNB;Dystrobrevin beta
DTX2;Probable E3 ubiquitin-protein ligase DTX2
DTX3;Probable E3 ubiquitin-protein ligase DTX3
DTYMK;Thymidylate kinase
DUOX2;Dual oxidase 2
DUSP13;Dual specificity protein phosphatase 13 isoform A
DUSP29;Dual specificity phosphatase 29
DUSP3;Dual specificity protein phosphatase 3
"DUT;Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial"
DXO;Decapping and exoribonuclease protein
DYNC1H1;Cytoplasmic dynein 1 heavy chain 1
DYNLT1;Dynein light chain Tctex-type 1
DYNLT3;Dynein light chain Tctex-type 3
EBAG9;Receptor-binding cancer antigen expressed on SiSo cells
EBI3_IL27;Interleukin-27
ECE1;Endothelin-converting enzyme 1
"ECHDC3;Enoyl-CoA hydratase domain-containing protein 3, mitochondrial"
"ECHS1;Enoyl-CoA hydratase, mitochondrial"
ECI2;Enoyl-CoA delta isomerase 2
ECM1;Extracellular matrix protein 1
ECSCR;Endothelial cell-specific chemotaxis regulator
EDA2R;Tumor necrosis factor receptor superfamily member 27
EDAR;Tumor necrosis factor receptor superfamily member EDAR
EDDM3B;Epididymal secretory protein E3-beta
EDEM2;ER degradation-enhancing alpha-mannosidase-like protein 2
EDF1;Endothelial differentiation-related factor 1
EDIL3;EGF-like repeat and discoidin I-like domain-containing protein 3
EDN1;Endothelin-1
EDNRB;Endothelin receptor type B
EEF1D;Elongation factor 1-delta
EFCAB14;EF-hand calcium-binding domain-containing protein 14
EFCAB2;Dynein regulatory complex protein 8
EFEMP1;EGF-containing fibulin-like extracellular matrix protein 1
EFHD1;EF-hand domain-containing protein D1
EFNA1;Ephrin-A1
EFNA4;Ephrin-A4
EFNB2;Ephrin-B2
EGF;Pro-epidermal growth factor
EGFL7;Epidermal growth factor-like protein 7
EGFLAM;Pikachurin
EGFR;Epidermal growth factor receptor
EGLN1;Egl nine homolog 1
EHBP1;EH domain-binding protein 1
EHD3;EH domain-containing protein 3
"EIF1AX;Eukaryotic translation initiation factor 1A, X-chromosomal"
"EIF2AK2;Interferon-induced, double-stranded RNA-activated protein kinase"
EIF2AK3;Eukaryotic translation initiation factor 2-alpha kinase 3
EIF2S2;Eukaryotic translation initiation factor 2 subunit 2
EIF4B;Eukaryotic translation initiation factor 4B
EIF4E;Eukaryotic translation initiation factor 4E
EIF4EBP1;Eukaryotic translation initiation factor 4E-binding protein 1
EIF4G1;Eukaryotic translation initiation factor 4 gamma 1
EIF4G3;Eukaryotic translation initiation factor 4 gamma 3
EIF5;Eukaryotic translation initiation factor 5
EIF5A;Eukaryotic translation initiation factor 5A-1
ELAC1;Zinc phosphodiesterase ELAC protein 1
ELAVL4;ELAV-like protein 4
ELN;Elastin
ELOA;Elongin-A
ELOB;Elongin-B
ENAH;Protein enabled homolog
ENDOU;Poly(U)-specific endoribonuclease
ENG;Endoglin
ENO1;Alpha-enolase
ENO2;Gamma-enolase
ENO3;Beta-enolase
ENOPH1;Enolase-phosphatase E1
ENOX2;Ecto-NOX disulfide-thiol exchanger 2
ENPEP;Glutamyl aminopeptidase
ENPP2;Ectonucleotide pyrophosphatase/phosphodiesterase family member 2
ENPP5;Ectonucleotide pyrophosphatase/phosphodiesterase family member 5
ENPP6;Glycerophosphocholine cholinephosphodiesterase ENPP6
ENPP7;Ectonucleotide pyrophosphatase/phosphodiesterase family member 7
ENSA;Alpha-endosulfine
ENTPD2;Ectonucleoside triphosphate diphosphohydrolase 2
ENTPD5;Ectonucleoside triphosphate diphosphohydrolase 5
ENTPD6;Ectonucleoside triphosphate diphosphohydrolase 6
ENTR1;Endosome-associated-trafficking regulator 1
EP300;Histone acetyltransferase p300
EPB41L5;Band 4.1-like protein 5
EPCAM;Epithelial cell adhesion molecule
EPGN;Epigen
EPHA1;Ephrin type-A receptor 1
EPHA10;Ephrin type-A receptor 10
EPHA2;Ephrin type-A receptor 2
EPHA4;Ephrin type-A receptor 4
EPHB4;Ephrin type-B receptor 4
EPHB6;Ephrin type-B receptor 6
EPHX2;Bifunctional epoxide hydrolase 2
EPN1;Epsin-1
EPO;Erythropoietin
EPPK1;Epiplakin
EPS8L2;Epidermal growth factor receptor kinase substrate 8-like protein 2
ERBB2;Receptor tyrosine-protein kinase erbB-2
ERBB3;Receptor tyrosine-protein kinase erbB-3
ERBB4;Receptor tyrosine-protein kinase erbB-4
ERBIN;Erbin
ERC2;ERC protein 2
ERCC1;DNA excision repair protein ERCC-1
EREG;Proepiregulin
ERI1;3'-5' exoribonuclease 1
ERMAP;Erythroid membrane-associated protein
ERN1;Serine/threonine-protein kinase/endoribonuclease IRE1
ERP29;Endoplasmic reticulum resident protein 29
ERP44;Endoplasmic reticulum resident protein 44
ERVV-1;Endogenous retrovirus group V member 1 Env polyprotein
ESAM;Endothelial cell-selective adhesion molecule
ESM1;Endothelial cell-specific molecule 1
ESPL1;Separin
ESR1;Estrogen receptor
ESYT2;Extended synaptotagmin-2
EVI2B;Protein EVI2B
EVI5;Ecotropic viral integration site 5 protein homolog
EVPL;Envoplakin
EXOSC10;Exosome component 10
EXTL1;Exostosin-like 1
EZR;Ezrin
F10;Coagulation factor X
F11;Coagulation factor XI
F11R;Junctional adhesion molecule A
F12;Coagulation factor XII
F13B;Coagulation factor XIII B chain
F2;Prothrombin
F2R;Proteinase-activated receptor 1
F3;Tissue factor
F7;Coagulation factor VII
F9;Coagulation factor IX
"FABP1;Fatty acid-binding protein, liver"
"FABP2;Fatty acid-binding protein, intestinal"
"FABP3;Fatty acid-binding protein, heart"
"FABP4;Fatty acid-binding protein, adipocyte"
FABP5;Fatty acid-binding protein 5
FABP6;Gastrotropin
FABP9;Fatty acid-binding protein 9
FADD;FAS-associated death domain protein
FAM13A;Protein FAM13A
FAM171A2;Protein FAM171A2
FAM171B;Protein FAM171B
FAM172A;Cotranscriptional regulator FAM172A
FAM20A;Pseudokinase FAM20A
FAM3B;Protein FAM3B
FAM3C;Protein FAM3C
FAM3D;Protein FAM3D
FAP;Prolyl endopeptidase FAP
FARSA;Phenylalanine--tRNA ligase alpha subunit
FAS;Tumor necrosis factor receptor superfamily member 6
FASLG;Tumor necrosis factor ligand superfamily member 6
FBLN2;Fibulin-2
FBN2;Fibrillin-2
"FBP1;Fructose-1,6-bisphosphatase 1"
FCAMR;High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor
FCAR;Immunoglobulin alpha Fc receptor
FCER1A;High affinity immunoglobulin epsilon receptor subunit alpha
FCER2;Low affinity immunoglobulin epsilon Fc receptor
FCGR2A;Low affinity immunoglobulin gamma Fc region receptor II-a
FCGR2B;Low affinity immunoglobulin gamma Fc region receptor II-b
FCGR3B;Low affinity immunoglobulin gamma Fc region receptor III-B
FCN1;Ficolin-1
FCN2;Ficolin-2
FCRL1;Fc receptor-like protein 1
FCRL2;Fc receptor-like protein 2
FCRL3;Fc receptor-like protein 3
FCRL5;Fc receptor-like protein 5
FCRL6;Fc receptor-like protein 6
FCRLB;Fc receptor-like B
"FDX1;Adrenodoxin, mitochondrial"
"FDX2;Ferredoxin-2, mitochondrial"
FEN1;Flap endonuclease 1
FES;Tyrosine-protein kinase Fes/Fps
FETUB;Fetuin-B
FGA;Fibrinogen alpha chain
"FGD3;FYVE, RhoGEF and PH domain-containing protein 3"
FGF12;Fibroblast growth factor 12
FGF16;Fibroblast growth factor 16
FGF19;Fibroblast growth factor 19
FGF2;Fibroblast growth factor 2
FGF20;Fibroblast growth factor 20
FGF21;Fibroblast growth factor 21
FGF23;Fibroblast growth factor 23
FGF3;Fibroblast growth factor 3
FGF5;Fibroblast growth factor 5
FGF6;Fibroblast growth factor 6
FGF7;Fibroblast growth factor 7
FGF9;Fibroblast growth factor 9
FGFBP1;Fibroblast growth factor-binding protein 1
FGFBP2;Fibroblast growth factor-binding protein 2
FGFBP3;Fibroblast growth factor-binding protein 3
FGFR2;Fibroblast growth factor receptor 2
FGFR4;Fibroblast growth factor receptor 4
FGL1;Fibrinogen-like protein 1
FGR;Tyrosine-protein kinase Fgr
"FH;Fumarate hydratase, mitochondrial"
FHIP2A;FHF complex subunit HOOK interacting protein 2A
FHIT;Bis(5'-adenosyl)-triphosphatase
FIS1;Mitochondrial fission 1 protein
FKBP14;Peptidyl-prolyl cis-trans isomerase FKBP14
FKBP1B;Peptidyl-prolyl cis-trans isomerase FKBP1B
FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4
FKBP5;Peptidyl-prolyl cis-trans isomerase FKBP5
FKBP7;Peptidyl-prolyl cis-trans isomerase FKBP7
FKBPL;FK506-binding protein-like
FLI1;Friend leukemia integration 1 transcription factor
FLRT2;Leucine-rich repeat transmembrane protein FLRT2
FLT1;Vascular endothelial growth factor receptor 1
FLT3;Receptor-type tyrosine-protein kinase FLT3
FLT3LG;Fms-related tyrosine kinase 3 ligand
FLT4;Vascular endothelial growth factor receptor 3
FMNL1;Formin-like protein 1
FMR1;Synaptic functional regulator FMR1
FN1;Fibronectin
FNDC1;Fibronectin type III domain-containing protein 1
FNTA;Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha
FOLH1;Glutamate carboxypeptidase 2
FOLR1;Folate receptor alpha
FOLR2;Folate receptor beta
FOLR3;Folate receptor gamma
FOS;Proto-oncogene c-Fos
FOSB;Protein fosB
FOXJ3;Forkhead box protein J3
FOXO1;Forkhead box protein O1
FOXO3;Forkhead box protein O3
FRMD4B;FERM domain-containing protein 4B
FRMD7;FERM domain-containing protein 7
FRZB;Secreted frizzled-related protein 3
FSHB;Follitropin subunit beta
FST;Follistatin
FSTL1;Follistatin-related protein 1
FSTL3;Follistatin-related protein 3
FTCD;Formimidoyltransferase-cyclodeaminase
FUCA1;Tissue alpha-L-fucosidase
FUOM;Fucose mutarotase
FURIN;Furin
FUS;RNA-binding protein FUS
"FUT1;Galactoside alpha-(1,2)-fucosyltransferase 1"
FUT3_FUT5;3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3_4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5
"FUT8;Alpha-(1,6)-fucosyltransferase"
"FXN;Frataxin, mitochondrial"
FXYD5;FXYD domain-containing ion transport regulator 5
FYB1;FYN-binding protein 1
FZD10;Frizzled-10
FZD8;Frizzled-8
GABARAP;Gamma-aminobutyric acid receptor-associated protein
GABARAPL1;Gamma-aminobutyric acid receptor-associated protein-like 1
GABRA4;Gamma-aminobutyric acid receptor subunit alpha-4
GAD1;Glutamate decarboxylase 1
GAD2;Glutamate decarboxylase 2
GADD45B;Growth arrest and DNA damage-inducible protein GADD45 beta
GADD45GIP1;Growth arrest and DNA damage-inducible proteins-interacting protein 1
GAGE2A;G antigen 2A
GAL;Galanin peptides
GALNT10;Polypeptide N-acetylgalactosaminyltransferase 10
GALNT2;Polypeptide N-acetylgalactosaminyltransferase 2
GALNT3;Polypeptide N-acetylgalactosaminyltransferase 3
GALNT5;Polypeptide N-acetylgalactosaminyltransferase 5
GALNT7;N-acetylgalactosaminyltransferase 7
GAMT;Guanidinoacetate N-methyltransferase
GAPDH;Glyceraldehyde-3-phosphate dehydrogenase
GART;Trifunctional purine biosynthetic protein adenosine-3
GAS2;Growth arrest-specific protein 2
GAS6;Growth arrest-specific protein 6
GASK1A;Golgi-associated kinase 1A
GAST;Gastrin
GATA3;Trans-acting T-cell-specific transcription factor GATA-3
"GATD3;Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial"
GBA;Lysosomal acid glucosylceramidase
GBP1;Guanylate-binding protein 1
GBP2;Guanylate-binding protein 2
GBP4;Guanylate-binding protein 4
GBP6;Guanylate-binding protein 6
GC;Vitamin D-binding protein
GCC1;GRIP and coiled-coil domain-containing protein 1
GCG;Pro-glucagon
GCHFR;GTP cyclohydrolase 1 feedback regulatory protein
GCLM;Glutamate--cysteine ligase regulatory subunit
"GCNT1;Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase"
GDF15;Growth/differentiation factor 15
GDF2;Growth/differentiation factor 2
GDNF;Glial cell line-derived neurotrophic factor
GET3;ATPase GET3
GFAP;Glial fibrillary acidic protein
GFER;FAD-linked sulfhydryl oxidase ALR
GFOD2;Glucose-fructose oxidoreductase domain-containing protein 2
GFRA1;GDNF family receptor alpha-1
GFRA2;GDNF family receptor alpha-2
GFRA3;GDNF family receptor alpha-3
GFRAL;GDNF family receptor alpha-like
GGA1;ADP-ribosylation factor-binding protein GGA1
GGACT;Gamma-glutamylaminecyclotransferase
GGCT;Gamma-glutamylcyclotransferase
GGH;Gamma-glutamyl hydrolase
GGT1;Glutathione hydrolase 1 proenzyme
GGT5;Glutathione hydrolase 5 proenzyme
GH1;Somatotropin
GH2;Growth hormone variant
GHR;Growth hormone receptor
GHRHR;Growth hormone-releasing hormone receptor
GHRL;Appetite-regulating hormone
GID8;Glucose-induced degradation protein 8 homolog
GIGYF2;GRB10-interacting GYF protein 2
GIMAP7;GTPase IMAP family member 7
GIMAP8;GTPase IMAP family member 8
GIP;Gastric inhibitory polypeptide
GIPC2;PDZ domain-containing protein GIPC2
GIPC3;PDZ domain-containing protein GIPC3
GIPR;Gastric inhibitory polypeptide receptor
GIT1;ARF GTPase-activating protein GIT1
GJA8;Gap junction alpha-8 protein
GKN1;Gastrokine-1
GLA;Alpha-galactosidase A
GLB1;Beta-galactosidase
GLI2;Zinc finger protein GLI2
GLIPR1;Glioma pathogenesis-related protein 1
GLO1;Lactoylglutathione lyase
GLOD4;Glyoxalase domain-containing protein 4
GLP1R;Glucagon-like peptide 1 receptor
GLRX;Glutaredoxin-1
"GLRX5;Glutaredoxin-related protein 5, mitochondrial"
GLT8D2;Glycosyltransferase 8 domain-containing protein 2
GLYR1;Putative oxidoreductase GLYR1
GM2A;Ganglioside GM2 activator
GMFG;Glia maturation factor gamma
GMPR;GMP reductase 1
GMPR2;GMP reductase 2
GNAS;Neuroendocrine secretory protein 55
GNE;Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase
GNGT1;Guanine nucleotide-binding protein G(T) subunit gamma-T1
GNLY;Granulysin
GNPDA1;Glucosamine-6-phosphate isomerase 1
GNPDA2;Glucosamine-6-phosphate isomerase 2
GOLGA3;Golgin subfamily A member 3
GOLM2;Protein GOLM2
GOPC;Golgi-associated PDZ and coiled-coil motif-containing protein
GORASP2;Golgi reassembly-stacking protein 2
"GOT1;Aspartate aminotransferase, cytoplasmic"
GP1BA;Platelet glycoprotein Ib alpha chain
GP1BB;Platelet glycoprotein Ib beta chain
GP2;Pancreatic secretory granule membrane major glycoprotein GP2
GP5;Platelet glycoprotein V
GP6;Platelet glycoprotein VI
GPA33;Cell surface A33 antigen
GPC1;Glypican-1
GPC5;Glypican-5
GPD1;Glycerol-3-phosphate dehydrogenase
GPHA2;Glycoprotein hormone alpha-2
GPI;Glucose-6-phosphate isomerase
GPIHBP1;Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1
GPKOW;G-patch domain and KOW motifs-containing protein
GPNMB;Transmembrane glycoprotein NMB
GPR101;Probable G-protein coupled receptor 101
GPR158;Probable G-protein coupled receptor 158
GPR15L;Protein GPR15L
GPR37;Prosaposin receptor GPR37
GPRC5C;G-protein coupled receptor family C group 5 member C
GRAP2;GRB2-related adapter protein 2
GRHPR;Glyoxylate reductase/hydroxypyruvate reductase
"GRIK2;Glutamate receptor ionotropic, kainate 2"
"GRIN2B;Glutamate receptor ionotropic, NMDA 2B"
GRK5;G protein-coupled receptor kinase 5
GRN;Progranulin
GRP;Gastrin-releasing peptide
"GRPEL1;GrpE protein homolog 1, mitochondrial"
GRSF1;G-rich sequence factor 1
GSAP;Gamma-secretase-activating protein
GSN;Gelsolin
"GSR;Glutathione reductase, mitochondrial"
GSTA1;Glutathione S-transferase A1
GSTA3;Glutathione S-transferase A3
GSTM4;Glutathione S-transferase Mu 4
GSTP1;Glutathione S-transferase P
GSTT2B;Glutathione S-transferase theta-2B
GTF2IRD1;General transcription factor II-I repeat domain-containing protein 1
GTPBP2;GTP-binding protein 2
GUCA2A;Guanylin
GUCY2C;Heat-stable enterotoxin receptor
GUK1;Guanylate kinase
GUSB;Beta-glucuronidase
"GYS1;Glycogen [starch] synthase, muscle"
GZMA;Granzyme A
GZMB;Granzyme B
GZMH;Granzyme H
H2AP;Huntingtin-interacting protein M
"HADH;Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial"
"HAGH;Hydroxyacylglutathione hydrolase, mitochondrial"
HAO1;Hydroxyacid oxidase 1
"HARS1;Histidine--tRNA ligase, cytoplasmic"
HAVCR1;Hepatitis A virus cellular receptor 1
HAVCR2;Hepatitis A virus cellular receptor 2
HBEGF;Proheparin-binding EGF-like growth factor
HBQ1;Hemoglobin subunit theta-1
HBZ;Hemoglobin subunit zeta
HCG22;Protein PBMUCL2
HCLS1;Hematopoietic lineage cell-specific protein
HDAC8;Histone deacetylase 8
HDAC9;Histone deacetylase 9
HDDC2;5'-deoxynucleotidase HDDC2
HDGF;Hepatoma-derived growth factor
HDGFL2;Hepatoma-derived growth factor-related protein 2
HEBP1;Heme-binding protein 1
HEG1;Protein HEG homolog 1
HEPACAM2;HEPACAM family member 2
HEPH;Hephaestin
HEXIM1;Protein HEXIM1
HGF;Hepatocyte growth factor
HGFAC;Hepatocyte growth factor activator
HGS;Hepatocyte growth factor-regulated tyrosine kinase substrate
HHEX;Hematopoietically-expressed homeobox protein HHEX
HIF1A;Hypoxia-inducible factor 1-alpha
HIP1;Huntingtin-interacting protein 1
HIP1R;Huntingtin-interacting protein 1-related protein
HJV;Hemojuvelin
HK2;Hexokinase-2
"HLA-A;HLA class I histocompatibility antigen, A alpha chain"
"HLA-DRA;HLA class II histocompatibility antigen, DR alpha chain"
"HLA-E;HLA class I histocompatibility antigen, alpha chain E"
HMBS;Porphobilinogen deaminase
HMCN2;Hemicentin-2
"HMGCL;Hydroxymethylglutaryl-CoA lyase, mitochondrial"
"HMGCS1;Hydroxymethylglutaryl-CoA synthase, cytoplasmic"
HMMR;Hyaluronan mediated motility receptor
HMOX1;Heme oxygenase 1
HMOX2;Heme oxygenase 2
HNF1A;Hepatocyte nuclear factor 1-alpha
HNMT;Histamine N-methyltransferase
HNRNPK;Heterogeneous nuclear ribonucleoprotein K
HNRNPUL1;Heterogeneous nuclear ribonucleoprotein U-like protein 1
HPCAL1;Hippocalcin-like protein 1
HPGDS;Hematopoietic prostaglandin D synthase
HPSE;Heparanase
HRAS;GTPase Hras
HRC;Sarcoplasmic reticulum histidine-rich calcium-binding protein
HRG;Histidine-rich glycoprotein
HS1BP3;HCLS1-binding protein 3
HS3ST3B1;Heparan sulfate glucosamine 3-O-sulfotransferase 3B1
HS6ST1;Heparan-sulfate 6-O-sulfotransferase 1
HS6ST2;Heparan-sulfate 6-O-sulfotransferase 2
HSBP1;Heat shock factor-binding protein 1
HSD11B1;Corticosteroid 11-beta-dehydrogenase isozyme 1
HSD17B14;17-beta-hydroxysteroid dehydrogenase 14
HSD17B3;Testosterone 17-beta-dehydrogenase 3
HSDL2;Hydroxysteroid dehydrogenase-like protein 2
HSP90B1;Endoplasmin
HSPA1A;Heat shock 70 kDa protein 1A
HSPA2;Heat shock-related 70 kDa protein 2
HSPB1;Heat shock protein beta-1
HSPB6;Heat shock protein beta-6
HSPG2;Basement membrane-specific heparan sulfate proteoglycan core protein
HTR1A;5-hydroxytryptamine receptor 1A
HTR1B;5-hydroxytryptamine receptor 1B
"HTRA2;Serine protease HTRA2, mitochondrial"
HYAL1;Hyaluronidase-1
HYOU1;Hypoxia up-regulated protein 1
ICA1;Islet cell autoantigen 1
ICAM1;Intercellular adhesion molecule 1
ICAM2;Intercellular adhesion molecule 2
ICAM3;Intercellular adhesion molecule 3
ICAM4;Intercellular adhesion molecule 4
ICAM5;Intercellular adhesion molecule 5
ICOSLG;ICOS ligand
ID4;DNA-binding protein inhibitor ID-4
IDI2;Isopentenyl-diphosphate delta-isomerase 2
"IDO1;Indoleamine 2,3-dioxygenase 1"
IDS;Iduronate 2-sulfatase
IDUA;Alpha-L-iduronidase
IFI30;Gamma-interferon-inducible lysosomal thiol reductase
IFIT1;Interferon-induced protein with tetratricopeptide repeats 1
IFIT3;Interferon-induced protein with tetratricopeptide repeats 3
IFNAR1;Interferon alpha/beta receptor 1
IFNG;Interferon gamma
IFNGR1;Interferon gamma receptor 1
